




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.3954044 Released 2020-07-16
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Mus musculus - REFLIST (22265)	upload_1 (96)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
negative regulation of myoblast fusion (GO:1901740)	3	2	.01	+	 > 100	1.81E-04	2.72E-02
helper T cell extravasation (GO:0035684)	4	2	.02	+	 > 100	2.71E-04	3.53E-02
synaptic transmission, dopaminergic (GO:0001963)	16	3	.07	+	43.49	7.07E-05	1.43E-02
positive regulation of mast cell activation (GO:0033005)	35	5	.15	+	33.13	7.67E-07	5.05E-04
positive regulation of monocyte chemotaxis (GO:0090026)	21	3	.09	+	33.13	1.45E-04	2.32E-02
T cell migration (GO:0072678)	23	3	.10	+	30.25	1.86E-04	2.77E-02
mRNA polyadenylation (GO:0006378)	32	4	.14	+	28.99	1.69E-05	5.24E-03
RNA polyadenylation (GO:0043631)	33	4	.14	+	28.11	1.89E-05	5.63E-03
positive regulation of mononuclear cell migration (GO:0071677)	27	3	.12	+	25.77	2.86E-04	3.65E-02
regulation of monocyte chemotaxis (GO:0090025)	28	3	.12	+	24.85	3.16E-04	3.93E-02
regulation of mast cell activation (GO:0033003)	56	5	.24	+	20.71	6.46E-06	2.69E-03
mRNA 3'-end processing (GO:0031124)	46	4	.20	+	20.17	6.31E-05	1.31E-02
positive regulation of phagocytosis (GO:0050766)	83	7	.36	+	19.56	1.20E-07	1.46E-04
chemokine-mediated signaling pathway (GO:0070098)	54	4	.23	+	17.18	1.13E-04	1.95E-02
regulation of lymphocyte migration (GO:2000401)	60	4	.26	+	15.46	1.66E-04	2.55E-02
lymphocyte migration (GO:0072676)	61	4	.26	+	15.21	1.77E-04	2.68E-02
cellular response to chemokine (GO:1990869)	64	4	.28	+	14.50	2.10E-04	3.02E-02
response to chemokine (GO:1990868)	64	4	.28	+	14.50	2.10E-04	3.00E-02
regulation of phagocytosis (GO:0050764)	112	7	.48	+	14.50	8.15E-07	5.15E-04
negative regulation of endopeptidase activity (GO:0010951)	181	9	.78	+	11.53	1.31E-07	1.48E-04
positive regulation of T cell activation (GO:0050870)	199	9	.86	+	10.49	2.83E-07	2.63E-04
negative regulation of peptidase activity (GO:0010466)	245	11	1.06	+	10.41	1.34E-08	1.06E-04
positive regulation of leukocyte cell-cell adhesion (GO:1903039)	220	9	.95	+	9.49	6.34E-07	4.55E-04
positive regulation of cell-cell adhesion (GO:0022409)	264	10	1.14	+	8.79	2.89E-07	2.54E-04
negative regulation of proteolysis (GO:0045861)	349	13	1.50	+	8.64	5.09E-09	8.05E-05
positive regulation of peptidyl-tyrosine phosphorylation (GO:0050731)	194	7	.84	+	8.37	2.59E-05	7.05E-03
regulation of endopeptidase activity (GO:0052548)	344	12	1.48	+	8.09	4.15E-08	1.09E-04
cellular response to peptide (GO:1901653)	232	8	1.00	+	8.00	9.22E-06	3.64E-03
regulation of ERK1 and ERK2 cascade (GO:0070372)	308	10	1.33	+	7.53	1.12E-06	6.58E-04
positive regulation of ERK1 and ERK2 cascade (GO:0070374)	216	7	.93	+	7.52	5.02E-05	1.17E-02
regulation of peptidase activity (GO:0052547)	419	13	1.81	+	7.20	4.12E-08	1.30E-04
regulation of peptidyl-tyrosine phosphorylation (GO:0050730)	261	8	1.13	+	7.11	2.10E-05	6.15E-03
cell chemotaxis (GO:0060326)	198	6	.85	+	7.03	2.51E-04	3.33E-02
positive regulation of cell adhesion (GO:0045785)	434	13	1.87	+	6.95	6.13E-08	1.08E-04
cellular response to lipopolysaccharide (GO:0071222)	201	6	.87	+	6.92	2.72E-04	3.52E-02
negative regulation of hydrolase activity (GO:0051346)	404	12	1.74	+	6.89	2.24E-07	2.36E-04
cellular response to biotic stimulus (GO:0071216)	236	7	1.02	+	6.88	8.60E-05	1.66E-02
regulation of leukocyte cell-cell adhesion (GO:1903037)	308	9	1.33	+	6.78	9.08E-06	3.68E-03
leukocyte migration (GO:0050900)	206	6	.89	+	6.76	3.09E-04	3.87E-02
cellular response to molecule of bacterial origin (GO:0071219)	211	6	.91	+	6.60	3.49E-04	4.31E-02
regulation of T cell activation (GO:0050863)	319	9	1.38	+	6.54	1.19E-05	4.38E-03
regulation of leukocyte migration (GO:0002685)	217	6	.94	+	6.41	4.04E-04	4.80E-02
positive regulation of leukocyte activation (GO:0002696)	529	14	2.28	+	6.14	8.09E-08	1.28E-04
positive regulation of cell activation (GO:0050867)	546	14	2.35	+	5.95	1.18E-07	1.55E-04
regulation of calcium ion transport (GO:0051924)	274	7	1.18	+	5.93	2.11E-04	2.98E-02
response to lipopolysaccharide (GO:0032496)	284	7	1.22	+	5.72	2.61E-04	3.44E-02
fatty acid metabolic process (GO:0006631)	337	8	1.45	+	5.51	1.21E-04	2.05E-02
negative regulation of response to external stimulus (GO:0032102)	381	9	1.64	+	5.48	4.64E-05	1.09E-02
response to peptide (GO:1901652)	340	8	1.47	+	5.46	1.28E-04	2.13E-02
regulation of cell-cell adhesion (GO:0022407)	426	10	1.84	+	5.44	1.81E-05	5.51E-03
regulation of proteolysis (GO:0030162)	727	17	3.13	+	5.42	1.67E-08	8.81E-05
regulation of leukocyte activation (GO:0002694)	738	17	3.18	+	5.34	2.07E-08	8.19E-05
response to molecule of bacterial origin (GO:0002237)	305	7	1.32	+	5.32	3.97E-04	4.75E-02
cellular response to organonitrogen compound (GO:0071417)	442	10	1.91	+	5.25	2.47E-05	6.96E-03
regulation of cation transmembrane transport (GO:1904062)	360	8	1.55	+	5.15	1.88E-04	2.77E-02
regulation of inflammatory response (GO:0050727)	367	8	1.58	+	5.06	2.13E-04	2.98E-02
regulation of cell activation (GO:0050865)	783	17	3.38	+	5.04	4.81E-08	1.08E-04
cellular response to nitrogen compound (GO:1901699)	512	11	2.21	+	4.98	1.51E-05	4.98E-03
cellular response to lipid (GO:0071396)	419	9	1.81	+	4.98	9.45E-05	1.76E-02
inflammatory response (GO:0006954)	477	10	2.06	+	4.86	4.63E-05	1.11E-02
regulation of cell adhesion (GO:0030155)	722	15	3.11	+	4.82	5.60E-07	4.21E-04
negative regulation of catalytic activity (GO:0043086)	701	14	3.02	+	4.63	2.18E-06	1.11E-03
