Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-MMU-114608,"Platelet degranulation ",7,122,0.013147968531091712,5.954431456683951E-4,0.1331198512308962,2,8,0.0010314595152140279,10090,Mus musculus,"Q921M7;A6X935;Q9Z126;Q61704;Q9ESB3;Q8VCM7;P11276","Q921M7;A6X935;Q9Z126;Q61704;Q9ESB3;Q8VCM7;P11276","R-MMU-481009;R-MMU-481007"
R-MMU-76005,"Response to elevated platelet cytosolic Ca2+",7,127,0.01368681970039875,7.524239294495194E-4,0.1331198512308962,2,11,0.0014182568334192883,10090,Mus musculus,"Q921M7;A6X935;Q9Z126;Q61704;Q9ESB3;Q8VCM7;P11276","Q921M7;A6X935;Q9Z126;Q61704;Q9ESB3;Q8VCM7;P11276","R-MMU-481009;R-MMU-481007"
R-MMU-1566977,"Fibronectin matrix formation",2,4,4.310809354456299E-4,0.0010415697274008817,0.1331198512308962,3,3,3.8679731820526046E-4,10090,Mus musculus,"P11688;P11276","P11688;P11276","R-MMU-2327746;R-MMU-202723;R-MMU-2545196"
R-MMU-1566948,"Elastic fibre formation",4,43,0.0046341200560405214,0.001684930984814148,0.1331198512308962,4,16,0.0020629190304280558,10090,Mus musculus,"P11688;P11276;Q9R229;P29788","P11688;P11276;Q9R229;P29788","R-MMU-2537665;R-MMU-2396399;R-MMU-2161282;R-MMU-2328037"
R-MMU-140875,"Common Pathway of Fibrin Clot Formation",3,21,0.0022631749110895573,0.0019820359492834783,0.1331198512308962,14,27,0.003481175863847344,10090,Mus musculus,"Q9Z126;P19221;Q8VCM7","Q9Z126;P19221;Q8VCM7","R-MMU-140842;R-MMU-140840;R-MMU-140696;R-MMU-5578883;R-MMU-140700;R-MMU-140664;R-MMU-140791;R-MMU-140851;R-MMU-141040;R-MMU-141046;R-MMU-140599;R-MMU-140872;R-MMU-5602080;R-MMU-140870"
R-MMU-6811436,"COPI-independent Golgi-to-ER retrograde traffic",4,48,0.005172971225347559,0.0025030657879189233,0.1331198512308962,4,7,9.025270758122744E-4,10090,Mus musculus,"Q922F4;Q9D6F9;P47753;Q8BMG7","Q922F4;Q9D6F9;P47753;Q8BMG7","R-MMU-8850041;R-MMU-8850040;R-MMU-8849350;R-MMU-8849353"
R-MMU-2262752,"Cellular responses to stress",12,404,0.04353917448000862,0.0026683871094809186,0.1331198512308962,30,135,0.01740587931923672,10090,Mus musculus,"O35226;P17156;Q922F4;P99026;Q9ERU9;Q9D6F9;Q9JMH6;P47753;Q91YN9;P50516;O09164;F6ZDS4","O35226;P17156;Q922F4;P99026;Q9ERU9;Q9D6F9;Q9JMH6;P47753;Q91YN9;P50516;O09164;F6ZDS4","R-MMU-3371503;R-MMU-3371422;R-MMU-3371590;R-MMU-5618080;R-MMU-9640175;R-MMU-5252041;R-MMU-4837364;R-MMU-9640167;R-MMU-9640168;R-MMU-5618085;R-MMU-5251959;R-MMU-9640195;R-MMU-73646;R-MMU-3299682;R-MMU-5251942;R-MMU-5252079;R-MMU-3371467;R-MMU-9639286;R-MMU-1234159;R-MMU-9646468;R-MMU-3371554;R-MMU-5082384;R-MMU-5618098;R-MMU-5251955;R-MMU-3371518;R-MMU-5618110;R-MMU-9645608;R-MMU-5618105;R-MMU-5618107;R-MMU-9645598"
R-MMU-8953897,"Cellular responses to external stimuli",12,406,0.043754714947731435,0.0027772699905254106,0.1331198512308962,30,140,0.018050541516245487,10090,Mus musculus,"O35226;P17156;Q922F4;P99026;Q9ERU9;Q9D6F9;Q9JMH6;P47753;Q91YN9;P50516;O09164;F6ZDS4","O35226;P17156;Q922F4;P99026;Q9ERU9;Q9D6F9;Q9JMH6;P47753;Q91YN9;P50516;O09164;F6ZDS4","R-MMU-3371503;R-MMU-3371422;R-MMU-3371590;R-MMU-5618080;R-MMU-9640175;R-MMU-5252041;R-MMU-4837364;R-MMU-9640167;R-MMU-9640168;R-MMU-5618085;R-MMU-5251959;R-MMU-9640195;R-MMU-73646;R-MMU-3299682;R-MMU-5251942;R-MMU-5252079;R-MMU-3371467;R-MMU-9639286;R-MMU-1234159;R-MMU-9646468;R-MMU-3371554;R-MMU-5082384;R-MMU-5618098;R-MMU-5251955;R-MMU-3371518;R-MMU-5618110;R-MMU-9645608;R-MMU-5618105;R-MMU-5618107;R-MMU-9645598"
R-MMU-76002,"Platelet activation, signaling and aggregation",9,254,0.0273736394007975,0.002959447203833343,0.1331198512308962,20,101,0.013022176379577102,10090,Mus musculus,"Q921M7;A6X935;Q9Z126;Q61704;P19221;Q9ESB3;Q8VCM7;P11276;Q05144","Q921M7;A6X935;Q9Z126;Q61704;P19221;Q9ESB3;Q8VCM7;P11276;Q05144","R-MMU-354066;R-MMU-114697;R-MMU-377640;R-MMU-429441;R-MMU-354087;R-MMU-481009;R-MMU-354073;R-MMU-354149;R-MMU-429529;R-MMU-354124;R-MMU-442273;R-MMU-377641;R-MMU-377643;R-MMU-372693;R-MMU-377644;R-MMU-354165;R-MMU-372705;R-MMU-429415;R-MMU-481007;R-MMU-372697"
R-MMU-3000178,"ECM proteoglycans",4,51,0.005496281926931782,0.003106581138820119,0.1331198512308962,6,15,0.0019339865910263023,10090,Mus musculus,"P28653;Q62165;P11276;P29788","P28653;Q62165;P11276;P29788","R-MMU-2396395;R-MMU-2466106;R-MMU-2426471;R-MMU-2396079;R-MMU-2681681;R-MMU-2396370"
R-MMU-3371497,"HSP90 chaperone cycle for steroid hormone receptors (SHR)",4,52,0.005604052160793189,0.003327996280772405,0.1331198512308962,9,12,0.0015471892728210418,10090,Mus musculus,"P17156;Q922F4;Q9D6F9;P47753","P17156;Q922F4;Q9D6F9;P47753","R-MMU-3371503;R-MMU-3371422;R-MMU-3371590;R-MMU-5618098;R-MMU-5618080;R-MMU-5618110;R-MMU-5618105;R-MMU-5618107;R-MMU-5618085"
R-MMU-8955332,"Carboxyterminal post-translational modifications of tubulin",3,26,0.0028020260803965943,0.0036071064482658954,0.13346293858583813,2,2,2.5786487880350697E-4,10090,Mus musculus,"Q3UDE2;Q922F4;Q9D6F9","Q3UDE2;Q922F4;Q9D6F9","R-MMU-8865774;R-MMU-8867370"
R-MMU-8856688,"Golgi-to-ER retrograde transport",6,129,0.013902360168121564,0.004136573401471777,0.14064349565004042,10,18,0.0023207839092315627,10090,Mus musculus,"Q9QZE5;Q922F4;Q9D6F9;Q9JIF7;P47753;Q8BMG7","Q9QZE5;Q922F4;Q9D6F9;Q9JIF7;P47753;Q8BMG7","R-MMU-6811418;R-MMU-6811426;R-MMU-8850041;R-MMU-6811427;R-MMU-8850040;R-MMU-6811417;R-MMU-8849350;R-MMU-6811412;R-MMU-6811423;R-MMU-8849353"
R-MMU-6807878,"COPI-mediated anterograde transport",5,95,0.010238172216833711,0.005249247091068443,0.15222816564098485,7,12,0.0015471892728210418,10090,Mus musculus,"Q9QZE5;Q922F4;Q9D6F9;Q9JIF7;P47753","Q9QZE5;Q922F4;Q9D6F9;Q9JIF7;P47753","R-MMU-6809003;R-MMU-6809010;R-MMU-6807877;R-MMU-6809006;R-MMU-6807875;R-MMU-6809011;R-MMU-6807872"
R-MMU-70171,"Glycolysis",4,62,0.006681754499407264,0.0061586052038893335,0.166282340505012,2,21,0.002707581227436823,10090,Mus musculus,"P12382;Q9ERU9;Q9WUA3;F6ZDS4","P12382;Q9ERU9;Q9WUA3;F6ZDS4","R-MMU-170796;R-MMU-70467"
R-MMU-109582,"Hemostasis",15,631,0.06800301756654811,0.006491073339662479,0.16876790683122445,48,283,0.036487880350696236,10090,Mus musculus,"Q921M7;Q922F4;Q9Z126;Q61704;P19221;Q8VCM7;P11688;P11276;Q05144;A6X935;P01837;Q9D6F9;P47753;Q9ESB3;P0C605","Q921M7;Q922F4;Q9Z126;Q61704;P19221;Q8VCM7;P11688;P11276;Q05144;A6X935;P01837;Q9D6F9;P47753;Q9ESB3;P0C605","R-MMU-354066;R-MMU-158941;R-MMU-114697;R-MMU-418442;R-MMU-158721;R-MMU-158925;R-MMU-158722;R-MMU-140664;R-MMU-481009;R-MMU-354073;R-MMU-202723;R-MMU-141040;R-MMU-442273;R-MMU-141046;R-MMU-377643;R-MMU-372693;R-MMU-377644;R-MMU-354165;R-MMU-140872;R-MMU-5602080;R-MMU-140870;R-MMU-372705;R-MMU-8858428;R-MMU-158137;R-MMU-481007;R-MMU-372697;R-MMU-140842;R-MMU-983259;R-MMU-377640;R-MMU-140840;R-MMU-140696;R-MMU-429441;R-MMU-5578883;R-MMU-354087;R-MMU-140700;R-MMU-140791;R-MMU-354149;R-MMU-429529;R-MMU-140851;R-MMU-879459;R-MMU-983266;R-MMU-994148;R-MMU-354124;R-MMU-377641;R-MMU-158419;R-MMU-140599;R-MMU-158982;R-MMU-429415"
R-MMU-3371453,"Regulation of HSF1-mediated heat shock response",4,68,0.0073283759025757084,0.008454002887842926,0.1962612586740593,7,14,0.0018050541516245488,10090,Mus musculus,"P17156;Q9ERU9;Q91YN9;F6ZDS4","P17156;Q9ERU9;Q91YN9;F6ZDS4","R-MMU-5251959;R-MMU-5251955;R-MMU-3371518;R-MMU-5252041;R-MMU-5251942;R-MMU-5252079;R-MMU-3371467"
R-MMU-2129379,"Molecules associated with elastic fibres",3,36,0.0038797284190106693,0.008807639701918113,0.1962612586740593,3,9,0.0011603919546157814,10090,Mus musculus,"P11276;Q9R229;P29788","P11276;Q9R229;P29788","R-MMU-2537665;R-MMU-2396399;R-MMU-2161282"
