Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-MMU-76002,"Platelet activation, signaling and aggregation",13,254,0.0273736394007975,2.3059480205089855E-5,0.006976399215212092,43,101,0.013022176379577102,10090,Mus musculus,"P29699;Q921M7;Q61704;P20918;Q8VCM7;Q06890;Q8K0E8;Q99JI6;P84096;A6X935;P57780;P62874;P60766","P29699;Q921M7;Q61704;P20918;Q8VCM7;Q06890;Q8K0E8;Q99JI6;P84096;A6X935;P57780;P62874;P60766","R-MMU-432096;R-MMU-354066;R-MMU-443910;R-MMU-354173;R-MMU-392187;R-MMU-443905;R-MMU-114558;R-MMU-481009;R-MMU-354073;R-MMU-418576;R-MMU-392195;R-MMU-442273;R-MMU-392202;R-MMU-377643;R-MMU-428749;R-MMU-396996;R-MMU-372693;R-MMU-377644;R-MMU-397835;R-MMU-354165;R-MMU-354060;R-MMU-372705;R-MMU-428752;R-MMU-481007;R-MMU-372697;R-MMU-428750;R-MMU-397891;R-MMU-354097;R-MMU-377640;R-MMU-939265;R-MMU-429441;R-MMU-354087;R-MMU-442314;R-MMU-354149;R-MMU-354124;R-MMU-377641;R-MMU-354077;R-MMU-428917;R-MMU-442291;R-MMU-428909;R-MMU-114552;R-MMU-429415;R-MMU-428918"
R-MMU-114608,"Platelet degranulation ",9,122,0.013147968531091712,2.8943744907472535E-5,0.006976399215212092,2,8,0.0010314595152140279,10090,Mus musculus,"P29699;Q921M7;A6X935;P57780;Q61704;P20918;Q8VCM7;Q06890;Q8K0E8","P29699;Q921M7;A6X935;P57780;Q61704;P20918;Q8VCM7;Q06890;Q8K0E8","R-MMU-481009;R-MMU-481007"
R-MMU-76005,"Response to elevated platelet cytosolic Ca2+",9,127,0.01368681970039875,3.941468483170674E-5,0.006976399215212092,2,11,0.0014182568334192883,10090,Mus musculus,"P29699;Q921M7;A6X935;P57780;Q61704;P20918;Q8VCM7;Q06890;Q8K0E8","P29699;Q921M7;A6X935;P57780;Q61704;P20918;Q8VCM7;Q06890;Q8K0E8","R-MMU-481009;R-MMU-481007"
R-MMU-8856828,"Clathrin-mediated endocytosis",9,143,0.01541114344218127,9.687833329119488E-5,0.011320516545060944,27,33,0.004254770500257865,10090,Mus musculus,"P98078;Q99JB8;Q9DBG3;Q7M6Y3;Q9R0Q6;P61202;P17427;P17426;Q99LD4","P98078;Q99JB8;Q9DBG3;Q7M6Y3;Q9R0Q6;P61202;P17427;P17426;Q99LD4","R-MMU-8868236;R-MMU-8866283;R-MMU-8866279;R-MMU-8867754;R-MMU-8868661;R-MMU-8867756;R-MMU-8863472;R-MMU-8868648;R-MMU-8863723;R-MMU-8863471;R-MMU-8863721;R-MMU-8868658;R-MMU-8869438;R-MMU-8868659;R-MMU-8868660;R-MMU-8868230;R-MMU-8856808;R-MMU-8871193;R-MMU-8866277;R-MMU-8856813;R-MMU-8871194;R-MMU-8862280;R-MMU-8871196;R-MMU-8868651;R-MMU-8868071;R-MMU-8868072;R-MMU-8867613"
R-MMU-168249,"Innate Immune System",28,1049,0.11305097532061645,1.0679732589680135E-4,0.011320516545060944,31,430,0.055440948942754,10090,Mus musculus,"P29699;P09528;P54116;Q9D1Q6;Q9WV32;Q9EQK5;Q9WV55;O08807;Q9JIF7;Q9WTX6;Q9R1P1;Q9JKF1;P50516;Q8VCM7;P17427;Q62422;Q62465;Q91W90;Q6ZQI3;P29788;P51150;Q9R0Q6;Q9D7X3;Q06890;Q8K0E8;P84096;Q99JI6;P60766","P29699;P09528;P54116;Q9D1Q6;Q9WV32;Q9EQK5;Q9WV55;O08807;Q9JIF7;Q9WTX6;Q9R1P1;Q9JKF1;P50516;Q8VCM7;P17427;Q62422;Q62465;Q91W90;Q6ZQI3;P29788;P51150;Q9R0Q6;Q9D7X3;Q06890;Q8K0E8;P84096;Q99JI6;P60766","R-MMU-8852580;R-MMU-173709;R-MMU-6798747;R-MMU-2029454;R-MMU-203797;R-MMU-173723;R-MMU-6810643;R-MMU-2530429;R-MMU-2029456;R-MMU-2029476;R-MMU-173720;R-MMU-5607723;R-MMU-6799350;R-MMU-5684248;R-MMU-5684250;R-MMU-6798739;R-MMU-6798751;R-MMU-5607731;R-MMU-6798748;R-MMU-6798745;R-MMU-6800426;R-MMU-5607728;R-MMU-1222516;R-MMU-6798743;R-MMU-2530453;R-MMU-173725;R-MMU-6798749;R-MMU-5607724;R-MMU-6800434;R-MMU-5607725;R-MMU-8870678"
R-MMU-8856825,"Cargo recognition for clathrin-mediated endocytosis",7,102,0.010992563853863564,3.531734698846156E-4,0.0301187367441752,8,13,0.0016761217122227953,10090,Mus musculus,"P98078;Q9DBG3;Q7M6Y3;P61202;P17427;P17426;Q99LD4","P98078;Q9DBG3;Q7M6Y3;P61202;P17427;P17426;Q99LD4","R-MMU-8866283;R-MMU-8866279;R-MMU-8866277;R-MMU-8863472;R-MMU-8863723;R-MMU-8863471;R-MMU-8863721;R-MMU-8867613"
R-MMU-177504,"Retrograde neurotrophin signalling",3,11,0.0011854725724754823,4.015831565890027E-4,0.0301187367441752,1,1,1.2893243940175349E-4,10090,Mus musculus,"Q9DBG3;P17427;P17426","Q9DBG3;P17427;P17426","R-MMU-177479"
R-MMU-6798695,"Neutrophil degranulation",17,539,0.058088156051298634,4.8713860247717733E-4,0.030422830280902424,10,10,0.0012893243940175349,10090,Mus musculus,"P29699;P09528;P54116;Q9D1Q6;Q9EQK5;Q9WV55;P51150;O08807;Q9JIF7;Q9JKF1;P17427;Q62422;Q62465;Q99JI6;P84096;Q91W90;Q6ZQI3","P29699;P09528;P54116;Q9D1Q6;Q9EQK5;Q9WV55;P51150;O08807;Q9JIF7;Q9JKF1;P17427;Q62422;Q62465;Q99JI6;P84096;Q91W90;Q6ZQI3","R-MMU-6798751;R-MMU-6798747;R-MMU-6798748;R-MMU-6798745;R-MMU-6800426;R-MMU-6798749;R-MMU-6800434;R-MMU-6798743;R-MMU-6798739;R-MMU-6799350"
R-MMU-8866427,"VLDLR internalisation and degradation",3,12,0.0012932428063368898,5.165703808642785E-4,0.030422830280902424,2,4,5.157297576070139E-4,10090,Mus musculus,"Q9DBG3;P17427;P17426","Q9DBG3;P17427;P17426","R-MMU-8855131;R-MMU-8855130"
R-MMU-5140745,"WNT5A-dependent internalization of FZD2, FZD5 and ROR2",3,13,0.0014010130401982972,6.507383128027122E-4,0.030422830280902424,1,2,2.5786487880350697E-4,10090,Mus musculus,"Q9DBG3;P17427;P17426","Q9DBG3;P17427;P17426","R-MMU-5140747"
