Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-MMU-391160,"Signal regulatory protein family interactions",6,14,0.0015087832740597047,9.735172890046329E-9,4.010891230699087E-6,8,8,0.0010314595152140279,10090,Mus musculus,"A0A0A6YXN8;K7N6K7;A0A0A6YYP6;P97797;Q1AN91;Q1AN92","A0A0A6YXN8;K7N6K7;A0A0A6YYP6;P97797;Q1AN91;Q1AN92","R-MMU-391153;R-MMU-391152;R-MMU-391168;R-MMU-391158;R-MMU-391155;R-MMU-391151;R-MMU-210274;R-MMU-391157"
R-MMU-1500931,"Cell-Cell communication",7,92,0.009914861515249488,5.195451855444233E-5,0.01070263082221512,9,51,0.0065755544094894276,10090,Mus musculus,"A0A0A6YXN8;P30999;K7N6K7;A0A0A6YYP6;P97797;Q1AN91;Q1AN92","A0A0A6YXN8;P30999;K7N6K7;A0A0A6YYP6;P97797;Q1AN91;Q1AN92","R-MMU-391153;R-MMU-391152;R-MMU-391168;R-MMU-419002;R-MMU-391158;R-MMU-391155;R-MMU-391151;R-MMU-210274;R-MMU-391157"
R-MMU-109582,"Hemostasis",16,631,0.06800301756654811,7.419285447451962E-4,0.10164421063009188,19,283,0.036487880350696236,10090,Mus musculus,"O54819;P07724;Q06194;A0A0A6YXN8;Q60854;Q64727;P48036;A0A0A6YYP6;K7N6K7;P97797;Q64010;Q08048;Q1AN91;P12023;Q1AN92;P70458","O54819;P07724;Q06194;A0A0A6YXN8;Q60854;Q64727;P48036;A0A0A6YYP6;K7N6K7;P97797;Q64010;Q08048;Q1AN91;P12023;Q1AN92;P70458","R-MMU-158164;R-MMU-159001;R-MMU-140840;R-MMU-140696;R-MMU-5607043;R-MMU-9670014;R-MMU-202703;R-MMU-158278;R-MMU-5591086;R-MMU-5607002;R-MMU-9661625;R-MMU-158419;R-MMU-140599;R-MMU-482772;R-MMU-140825;R-MMU-158118;R-MMU-158137;R-MMU-481007;R-MMU-372697"
R-MMU-114608,"Platelet degranulation ",6,122,0.013147968531091712,0.0017469153907292423,0.15762115372117336,2,8,0.0010314595152140279,10090,Mus musculus,"P07724;Q06194;Q64727;P48036;Q08048;P12023","P07724;Q06194;Q64727;P48036;Q08048;P12023","R-MMU-482772;R-MMU-481007"
R-MMU-76005,"Response to elevated platelet cytosolic Ca2+",6,127,0.01368681970039875,0.002133588382008278,0.15762115372117336,2,11,0.0014182568334192883,10090,Mus musculus,"P07724;Q06194;Q64727;P48036;Q08048;P12023","P07724;Q06194;Q64727;P48036;Q08048;P12023","R-MMU-482772;R-MMU-481007"
R-MMU-8963899,"Plasma lipoprotein remodeling",3,25,0.002694255846535187,0.0023179581429584317,0.15762115372117336,3,24,0.0030943785456420837,10090,Mus musculus,"Q9WVG5;P07724;P23188","Q9WVG5;P07724;P23188","R-MMU-6784628;R-MMU-264679;R-MMU-8980228"
R-MMU-389887,"Beta-oxidation of pristanoyl-CoA",2,8,8.621618708912598E-4,0.0032118116127044516,0.1816995099628954,4,9,0.0011603919546157814,10090,Mus musculus,"P51660;P47934","P51660;P47934","R-MMU-390284;R-MMU-390291;R-MMU-389986;R-MMU-389995"
R-MMU-174824,"Plasma lipoprotein assembly, remodeling, and clearance",4,60,0.006466214031684449,0.0036215050833416917,0.1816995099628954,4,71,0.009154203197524496,10090,Mus musculus,"Q9WVG5;P07724;P23188;Q8BM54","Q9WVG5;P07724;P23188;Q8BM54","R-MMU-6784628;R-MMU-264679;R-MMU-8854628;R-MMU-8980228"
R-MMU-8964058,"HDL remodeling",2,9,9.699321047526673E-4,0.0040377668880643425,0.1816995099628954,2,11,0.0014182568334192883,10090,Mus musculus,"Q9WVG5;P07724","Q9WVG5;P07724","R-MMU-264679;R-MMU-8980228"
R-MMU-8875656,"MET receptor recycling",2,10,0.0010777023386140748,0.004951589505816756,0.203015169738487,2,2,2.5786487880350697E-4,10090,Mus musculus,"Q64010;Q08048","Q64010;Q08048","R-MMU-8875661;R-MMU-8875659"
R-MMU-8875555,"MET activates RAP1 and RAC1",2,11,0.0011854725724754823,0.005951421313114769,0.22020258858524644,5,5,6.446621970087674E-4,10090,Mus musculus,"Q64010;Q08048","Q64010;Q08048","R-MMU-8875568;R-MMU-8875558;R-MMU-8875591;R-MMU-8875540;R-MMU-8875576"
R-MMU-140877,"Formation of Fibrin Clot (Clotting Cascade)",3,38,0.004095268886733484,0.007392201878279936,0.2513348638615178,14,57,0.007349149045899948,10090,Mus musculus,"O54819;Q06194;P70458","O54819;Q06194;P70458","R-MMU-158164;R-MMU-140840;R-MMU-140696;R-MMU-5607043;R-MMU-9670014;R-MMU-158278;R-MMU-5591086;R-MMU-5607002;R-MMU-9661625;R-MMU-158419;R-MMU-140599;R-MMU-140825;R-MMU-158118;R-MMU-158137"
