pro	gene_dsi	gene_dpi	gene_pli	disease_name	score	ei	el	source
P78347	0.5	0.808	0.99592	Williams Syndrome	0.6	0.975	None	ANIMAL_MODELS
P13500	0.321	0.962	0.60786	Coronary Arteriosclerosis	0.6	0.955	None	ANIMAL_MODELS
P13500	0.321	0.962	0.60786	Hypertensive disease	0.6	1.0	None	ANIMAL_MODELS
P13500	0.321	0.962	0.60786	Congestive heart failure	0.59	0.909	None	ANIMAL_MODELS
P07101	0.462	0.885	1.6878e-06	Hypertensive disease	0.58	0.9	None	ANIMAL_MODELS
P01308	0.445	0.923	0.30091	Hypertensive disease	0.57	1.0	None	ANIMAL_MODELS
P13500	0.321	0.962	0.60786	Heart failure	0.56	0.875	None	ANIMAL_MODELS
P13500	0.321	0.962	0.60786	Myocardial Ischemia	0.55	0.875	None	ANIMAL_MODELS
P02778	0.378	0.885	0.36865	Brain Ischemia	0.51	1.0	None	ANIMAL_MODELS
P13500	0.321	0.962	0.60786	Brain Ischemia	0.51	1.0	None	ANIMAL_MODELS
P13500	0.321	0.962	0.60786	Myocardial Reperfusion Injury	0.5	1.0	None	ANIMAL_MODELS
P13500	0.321	0.962	0.60786	Reperfusion Injury	0.5	1.0	None	ANIMAL_MODELS
P13500	0.321	0.962	0.60786	Cerebral Ischemia	0.5	1.0	None	ANIMAL_MODELS
P13500	0.321	0.962	0.60786	Coronary heart disease	0.3	0.941	None	ANIMAL_MODELS
P13500	0.321	0.962	0.60786	Diabetic Retinopathy	0.3	1.0	None	ANIMAL_MODELS
P13500	0.321	0.962	0.60786	Myocardial Infarction	0.3	0.842	None	ANIMAL_MODELS
P13500	0.321	0.962	0.60786	Cerebrovascular accident	0.3	0.917	None	ANIMAL_MODELS
P13500	0.321	0.962	0.60786	Aortic Aneurysm, Abdominal	0.3	1.0	None	ANIMAL_MODELS
P13500	0.321	0.962	0.60786	Intracranial Aneurysm	0.25	1.0	None	ANIMAL_MODELS
P05067	0.422	0.846	0.046544	Hypertensive disease	0.24	1.0	None	ANIMAL_MODELS
P01308	0.445	0.923	0.30091	Diabetic Retinopathy	0.24	1.0	None	ANIMAL_MODELS
P08758	0.458	0.769	3.7978e-15	Myocardial Infarction	0.23	1.0	None	ANIMAL_MODELS
P04141	0.33	0.962	0.83468	Myocardial Infarction	0.23	1.0	None	ANIMAL_MODELS
P14210	0.374	0.885	0.99947	Cerebrovascular accident	0.23	1.0	None	ANIMAL_MODELS
P07101	0.462	0.885	1.6878e-06	Congestive heart failure	0.23	1.0	None	ANIMAL_MODELS
Q96D42	0.489	0.885	8.5105e-07	Hypertensive disease	0.23	0.75	None	ANIMAL_MODELS
P08758	0.458	0.769	3.7978e-15	Myocardial Ischemia	0.22	1.0	None	ANIMAL_MODELS
P07101	0.462	0.885	1.6878e-06	Heart failure	0.22	1.0	None	ANIMAL_MODELS
P04141	0.33	0.962	0.83468	Aortic Aneurysm, Abdominal	0.21	1.0	None	ANIMAL_MODELS
P02778	0.378	0.885	0.36865	Myocarditis	0.21	1.0	None	ANIMAL_MODELS
P13500	0.321	0.962	0.60786	Cardiomyopathies	0.21	1.0	None	ANIMAL_MODELS
P10646	0.486	0.808	0.2477	Myocardial Infarction	0.21	1.0	None	ANIMAL_MODELS
Q9Y5X9	0.633	0.615	1.0165e-10	Hypertensive disease	0.21	1.0	None	ANIMAL_MODELS
Q9Y2I1	0.656	0.577	0.99443	Hypertensive disease	0.21	1.0	None	ANIMAL_MODELS
Q96D42	0.489	0.885	8.5105e-07	Cardio-Renal Syndrome	0.21	1.0	None	ANIMAL_MODELS
P02768	0.317	0.962	0.64329	Reperfusion Injury	0.2	1.0	None	ANIMAL_MODELS
P08758	0.458	0.769	3.7978e-15	Cardiomegaly	0.2	1.0	None	ANIMAL_MODELS
